,video_id,signer_id,duration,split,label_type,label,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,SignBank Reference ID
55780,bUmIpxWDaK874q4ahzVz,39,2804,train,freetext,edge,,,,,,,,,,,,,,,,,,
9892,urlAA3PMR7mplZBPWdty,7,2016,train,asllex,person,p,im,Stacked,0,,0,Open,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,p,0,888
21115,DiGFCMJs2JfzP33RhUL8,46,2776,train,asllex,man,5,imrp,Fully Open,0,1,0,Open,0,One Handed,None,0,Head,Forehead,,1,,0,503
58291,pfKLAWz4w9x7bdviMQQM,7,2274,train,asllex,cool_5,5,imrp,Fully Open,1,1,0,Open,0,Symmetrical Or Alternating,None,1,Head,Head Away,,0,5,0,1160
72682,lFgZGQjZZLHsJD0R8HJF,38,3118,train,freetext,increase_income,,,,,,,,,,,,,,,,,,
5629,2KvFP9RRfV5o0JDDYEqY,53,2392,test,asllex,egg,h,im,Fully Open,0,0,0,Closed,0,Symmetrical Or Alternating,Curved,1,Neutral,Neutral,Neutral,1,h,1,447
80765,9yAoheWa696BIL5NpaYO,80,1965,train,freetext,listen,,,,,,,,,,,,,,,,,,
7993,9kfp7M9fwgq5EnXP7r5A,39,3555,train,asllex,bored,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,0,Head,Cheek Nose,Head Away,1,,1,2124
2641,3EtNuOOEAuMKNws0hggT,88,1902,train,asllex,asia,a,imrp,Fully Closed,1,,1,Open,0,One Handed,Circular,0,Neutral,Neutral,Neutral,0,,0,779
77492,hOdLRffCoZCk9YJ6J7CV,17,1169,train,freetext,jury,,,,,,,,,,,,,,,,,,
84439,b6uT2IlWIjNvHynZRiHJ,63,1978,train,freetext,plant,,,,,,,,,,,,,,,,,,
5929,51UMZtHaOqrehaD2ZwMB,7,1801,train,asllex,doctor,flat_o,imrp,Flat,0,0,0,Open,1,One Handed,Straight,1,Arm,Wrist Front,,1,,0,344
50749,GTQHfVUaXhr5wZZ1oLRk,84,2260,train,asllex,hands,open_b,imrp,Fully Open,0,0,0,Open,0,Symmetrical Or Alternating,Other,0,Hand,Palm Back,Finger Back,1,open_b,0,389
48493,LblRRtAHIIrVM8qdhLma,53,2513,test,asllex,bright,o,imrp,Curved,1,0,1,Open,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,o,0,
3917,yNWynfkoM4srCzafY0pO,7,1948,val,asllex,water,w,p,Curved,0,,,Open,1,One Handed,Straight,1,Head,Chin,,1,,0,1414
1042,8y0ef55S38nq9fZk5N1c,61,1529,test,signbank,478,,,,,,,,,,,,,,,,,,
29541,BuZM6zke0CC1NXpP3o0p,85,2776,train,asllex,happy,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Curved,1,Body,Torso Top,Body Away,1,,0,476
85089,DHA0C9rZ3RLBknED5UzY,78,2278,train,freetext,rabbit,,,,,,,,,,,,,,,,,,
40932,BVpkwR7b0oIJEIpdOw2w,59,1647,train,asllex,drive,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,s,0,2207
34583,uyezWSdmspNIqoM1KK0Y,84,1267,train,asllex,gun,a,t,,1,,,Open,,One Handed,None,1,Neutral,Neutral,,0,,0,2932
40051,aH9KKvGnjzcjG8t7jY5c,50,2226,test,asllex,freedom,s,imrp,Fully Closed,0,,0,Closed,1,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,s,1,562
27308,aynz60ZTw3gp61PqvTeB,31,1462,train,freetext,by_wall,,,,,,,,,,,,,,,,,,
17332,Ju1F0cEdp3eYCGwXrmgm,15,1421,train,asllex,things,open_b,imrp,Fully Open,0,0,0,Open,0,One Handed,Z-shaped,0,Neutral,Neutral,Neutral,0,,0,1210
24754,xLfiCz4zfk6xuPDeNChS,30,1844,train,asllex,color,5,imrp,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Chin,,1,,0,433
25459,Oz9nrd1t03aNJxWxxVOI,49,3067,train,asllex,what_for,1,i,Fully Open,0,,,Closed,0,One Handed,Curved,1,Head,Forehead,Head Away,0,,1,134
72443,UFHKRTsd6LCZ2Tb9L2na,49,1869,train,freetext,hula_dance,,,,,,,,,,,,,,,,,,
38366,OcGPMrKZerhnqusUy4mH,46,1892,train,asllex,hurt,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,1,0,489
10528,cyMxnjZHcRVob1jtTCJy,64,1755,test,asllex,nothing,o,imrp,Curved,0,0,0,Open,1,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,o,0,1556
31893,FyEwYzESmea88Zb8v5fF,46,2324,train,asllex,write,baby_o,i,Bent,0,,,Open,1,Asymmetrical Different Handshape,Straight,1,Hand,Palm,Hand Away,1,B,0,1467
37753,d66aZSEnYP4bHIYkegHE,84,1954,train,asllex,cook,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Other,0,Hand,Palm,Palm,1,open_b,1,2584
17178,0PXX6pgLF0zFjj8wGvbn,39,2050,train,asllex,careful,p,im,Stacked,0,,0,Open,1,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,p,0,68
51376,7ejZnf7BwOHjnWJ1c2OY,39,3037,train,asllex,study,flatspread_5,imrp,Flat,1,1,0,Open,0,Asymmetrical Different Handshape,None,1,Hand,Hand Away,Hand Away,0,B,0,1139
5705,EUD14VmBE7iDCgJWBLM7,31,1012,train,signbank,3162,,,,,,,,,,,,,,,,,,
23976,5AQpVo8kghQSQbJ9O20u,7,2217,train,asllex,french,f,i,Curved,0,,,Open,1,One Handed,Curved,0,Neutral,Neutral,Neutral,0,,1,
6884,5Fi4LPI1FNaSBzZpm4Xo,38,1820,train,asllex,ring,g,i,Flat,0,,,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Finger Back,Finger Back,1,5,0,2391
67721,ASK4yLm8aTkO4EYXUKMF,80,3650,train,freetext,grass,,,,,,,,,,,,,,,,,,
32354,HhssfC5CrIaYR5gQtEHc,49,1418,train,asllex,promote,flat_b,imrp,Flat,0,0,0,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,flat_b,0,2051
50575,nI9KxpBuq34Px7mAYBK3,48,1320,test,asllex,follow_1,a,t,,,,,Open,,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,1,a,0,1489
90111,cORrbh6t7DThbZLFTlxh,46,3301,train,freetext,versus,,,,,,,,,,,,,,,,,,
84832,hqmmlnF4ac9617ccMB4k,62,1378,train,freetext,progress,,,,,,,,,,,,,,,,,,
40254,65Cb7fkXnLk5iNkjjL2o,57,1080,test,asllex,dont_want,curved_5,imrp,Curved,0,1,0,Open,0,Symmetrical Or Alternating,None,0,Neutral,Neutral,,0,curved_5,0,442
43884,BUGJdSypabSCtJqnCOU0,17,2175,train,asllex,clean,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Curved,1,Hand,Palm,Hand Away,1,open_b,0,431
72203,HpPXsT5aeZ0A3OFg7UIJ,39,3363,train,freetext,hill,,,,,,,,,,,,,,,,,,
88610,rsTRGV0GysE7hELwku3H,54,1657,train,freetext,them,,,,,,,,,,,,,,,,,,
5095,f1is396fvLnObVwbYgIs,61,1198,test,asllex,bread,open_e,imrp,Bent,0,0,0,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm Back,Hand Away,1,B,1,2618
62999,g1fhGTEpvn9pyfzYxAD6,64,2060,test,asllex,nose_bleed,4,imrp,Fully Open,0,1,0,Closed,0,One Handed,Straight,1,Head,Cheek Nose,Head Away,1,,0,2191
38487,iOAATl0pOew33ZzwimO6,57,2049,test,freetext,calming,,,,,,,,,,,,,,,,,,
90247,Q3fz7mD3dRqRLKuoylkc,14,2246,train,freetext,vp,,,,,,,,,,,,,,,,,,
12793,Wig7V0QzP4K7XYW8kF5H,48,1072,test,asllex,where,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,1,Neutral,Neutral,,0,,0,1427
59914,n4PXEN6kks0XF4D6K1nb,59,2029,train,asllex,crash,curved_5,imrp,Curved,1,1,1,Open,1,Asymmetrical Different Handshape,Straight,0,Hand,Hand Away,Palm,1,B,0,
11367,e1UBdTkckJ1P5m8bSR2x,52,2459,val,asllex,eat_1,o,imrp,Curved,0,0,0,Open,1,One Handed,Straight,1,Head,Mouth,,1,,0,399
87130,fQlDCWsSgBBcYiEVidX1,15,1198,train,freetext,social media,,,,,,,,,,,,,,,,,,
12707,BNxBU3gD7sg5IWaRusmT,17,910,train,asllex,where,1,i,Fully Open,0,,,Closed,0,One Handed,Straight,1,Neutral,Neutral,,0,,0,1427
15337,sCLKR20y4ylnWPQXrZty,35,2160,val,asllex,animal,flat_b,imrp,Flat,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Body,Torso Top,,1,flat_b,0,16
47914,RLq7GVFuHN4TUCkRMyBL,49,1069,train,asllex,practice,a,t,,,,,Open,,Asymmetrical Different Handshape,Back And Forth,0,Hand,Finger Radial,Hand Away,1,1,0,839
14605,93isBMQRY15a6L89OvRN,30,3171,train,freetext,attack,,,,,,,,,,,,,,,,,,
7419,W3uKElqsa4XDutHdlcJ9,48,1124,test,asllex,chance,c,imrp,Curved,0,0,0,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,0,c,1,2472
61093,JptNy6Jx9OXUNzBc55nY,49,1190,train,asllex,label,h,im,Fully Open,0,0,0,Closed,0,Asymmetrical Different Handshape,Straight,0,Hand,Palm,Palm,1,B,0,550
48315,WP15t9in3NAYZQ9SNWjy,80,1976,train,freetext,degrade,,,,,,,,,,,,,,,,,,
42983,fBohvM31omR7ZIL7BADH,12,1982,val,asllex,destroy,5,imrp,Fully Open,1,1,1,Open,0,Symmetrical Or Alternating,Back And Forth,0,Neutral,Neutral,Neutral,1,5,0,1250
3294,DwFmlAqxpzF4k1I5rMeS,7,2690,train,asllex,student,flatspread_5,imrp,Flat,1,1,1,Open,1,Asymmetrical Different Handshape,None,0,Hand,Palm,,1,B,0,828
16822,QIajzeRIUDXvgNYs87yE,62,987,train,asllex,more,o,imrp,Curved,0,0,0,Open,1,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,1,o,0,508
48327,K21YZc0pQQEENNAb5gDl,30,1768,train,freetext,degree,,,,,,,,,,,,,,,,,,
55642,qP5TeALKmMem1HSuOOJy,12,3113,train,asllex,sunbathe,flatspread_5,imrp,Flat,0,1,0,Open,0,One Handed,Circular,1,Head,Head Away,Head Away,0,,0,
48525,hJYHnN16159H8IaisgJ2,54,2202,train,freetext,different_tomato,,,,,,,,,,,,,,,,,,
27567,1GR1cTAwIeL9i8IA0GRz,63,1350,train,asllex,soda,open_8,m,Flat,1,,,Open,0,Asymmetrical Different Handshape,Back And Forth,0,Hand,Finger Radial,Hand Away,1,S,0,357
26330,903nHg7kqmtGcWQwGFR8,39,2538,train,freetext,beach,,,,,,,,,,,,,,,,,,
5094,83Aj1SA8M8Ik93eoWxs0,84,2068,train,asllex,bread,open_e,imrp,Bent,0,0,0,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm Back,Hand Away,1,B,1,2618
12939,4xaQrosUsa7ei4udx6fL,35,1406,train,asllex,act,a,t,,,,,Open,,Symmetrical Or Alternating,Circular,1,Body,Torso Top,Torso Top,1,a,0,5
376,SAfSTsIcV9nrleNMsdEz,84,2277,train,signbank,184,,,,,,,,,,,,,,,,,,
28041,5JFsWlzPm4Kshs3dXVae,61,1423,test,asllex,medicine,open_8,m,Flat,0,,,Open,0,Asymmetrical Different Handshape,Straight,1,Hand,Palm,,1,B,0,1621
565,t7pLe6m9fm0SR6NWrNY9,42,1552,train,signbank,257,,,,,,,,,,,,,,,,,,
6791,MDRhZRCQPPafsXzDq9lh,84,1439,train,asllex,door,closed_b,imrp,Fully Open,0,0,0,Closed,0,Asymmetrical Same Handshape,Curved,1,Hand,Finger Radial,Hand Away,1,closed_b,1,116
44024,MAjTYzTSjB2XqQiC9OZ6,17,1900,val,asllex,clean,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Curved,1,Hand,Palm,Hand Away,1,open_b,0,431
84351,nipUlFCDZx5hRIYMo1Dz,52,3241,train,freetext,pinky,,,,,,,,,,,,,,,,,,
38387,W14jEY56iArWvgbH1eJX,46,3039,val,asllex,hurt,1,i,Fully Open,0,,,Closed,0,Symmetrical Or Alternating,Circular,1,Neutral,Neutral,Neutral,0,1,0,489
27030,UAXobqPrzO5Q05RG94Ls,63,1633,train,asllex,want,5,imrp,Fully Open,1,1,0,Open,0,Symmetrical Or Alternating,Straight,0,Neutral,Neutral,Neutral,0,5,0,1409
58561,sOw66ce6PnDZwv9Ah7n9,46,1959,train,asllex,lost,5,imrp,Fully Open,0,1,0,Open,0,Symmetrical Or Alternating,Curved,0,Neutral,Neutral,Neutral,1,5,1,178
55731,XF79M4uad9bdgoFajYgm,38,3139,train,freetext,eat,,,,,,,,,,,,,,,,,,
31241,p0Z4kqaC14laC7F0xytJ,8,1629,train,asllex,small,c,imrp,Curved,0,0,0,Open,0,Symmetrical Or Alternating,Straight,1,Neutral,Neutral,Neutral,0,c,0,174
55850,7UkmKVXZoYIAhwbH6UoS,49,1733,train,freetext,elevator,,,,,,,,,,,,,,,,,,
90494,eQSf2L29Cge2HDc3nI52,31,2580,train,freetext,weed,,,,,,,,,,,,,,,,,,
27418,OqCMOdUqAAGZ33QgHzRz,46,2621,train,asllex,dirty,5,imrp,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Under Chin,,1,,0,109
56194,Ood6xzbyUlvhoOnInkIN,30,2315,train,asllex,time_progress,open_b,imrp,Fully Open,0,0,0,Open,0,Asymmetrical Same Handshape,Curved,0,Hand,Palm,Finger Front,1,open_b,0,1234
46666,yPpEL5YRisnFnZieVT8F,49,2064,train,asllex,leak,4,imrp,Fully Open,0,1,0,Closed,0,Asymmetrical Same Handshape,Straight,1,Hand,Finger Ulnar,Hand Away,1,4,0,2365
12984,FS0dT5TTKX2pOqj97X6H,57,1794,test,asllex,act,a,t,,,,,Open,,Symmetrical Or Alternating,Circular,1,Body,Torso Top,Torso Top,1,a,0,5
2381,pFw7PYT6YKY0u52e9o7e,30,1602,train,signbank,956,,,,,,,,,,,,,,,,,,
62218,A2QdRT4CjuWtTYlpS8wl,48,1679,test,freetext,freeze,,,,,,,,,,,,,,,,,,
14565,mODE5sdPisfJxxZk7sBQ,62,1046,train,asllex,time,bent_1,i,Bent,0,,,Closed,0,One Handed,Straight,1,Arm,Wrist Back,,1,,0,1233
2655,J6ZjXP8BpHOdD4rzkkYT,80,2120,train,asllex,devil,3,im,Fully Open,1,1,0,Open,0,One Handed,None,1,Head,Forehead,,1,,0,2739
17185,wMONPPUAFLIcg8nCpd6L,39,3453,train,asllex,check,1,m,Curved,0,,,Open,1,Asymmetrical Different Handshape,Back And Forth,0,Hand,Finger Front,Hand Away,1,B,1,1059
14378,2FPvalfwYM9Jz1DbWSfN,84,2005,train,asllex,wonder,1,i,Fully Open,0,,,Closed,0,One Handed,Circular,1,Head,Head Away,Head Away,0,,0,853
55020,XUnBO3SXh8Png0oB4p9p,46,1415,train,asllex,lesbian,l,i,Fully Open,0,,,Open,0,One Handed,Straight,1,Head,Chin,,1,,0,1677
